image_ap,image_auroc,image_f1,log_path,model_name,pixel_ap,pixel_aupro,pixel_auroc,pixel_f1,test_dataset
0.8,0.551,0.84,main/Crane-main/results/trained_on_visa_bayes_dino/test_on_mvtec/93d2063f/epoch_1/log.txt,trained_on_visa_bayes_dino,,0.59,0.852,0.281,mvtec
0.964,0.873,0.903,main/Crane-main/results/smoke_resclip_bottle/test_on_mvtec/2d759b96/epoch_0/log.txt,smoke_resclip_bottle,0.592,0.841,0.922,0.569,mvtec
0.964,0.872,0.903,main/Crane-main/results/zs_fixedprompts_bottle_smoketest/test_on_mvtec/9c8ae1a4/epoch_0/log.txt,zs_fixedprompts_bottle_smoketest,0.593,0.841,0.922,0.569,mvtec
0.745,0.681,0.755,main/Crane-main/results/zs_fixedprompts_visa_all_reduce_mean/test_on_visa/96b5532e/epoch_0/log.txt,zs_fixedprompts_visa_all_reduce_mean,0.178,0.809,0.847,0.262,visa
0.769,0.415,0.863,main/Crane-main/results/trained_on_mvtec_synth_cutpaste_ctxclip_bottle_e5_v3/test_on_mvtec/b5370745/epoch_5/log.txt,trained_on_mvtec_synth_cutpaste_ctxclip_bottle_e5_v3,0.09,0.332,0.522,0.138,mvtec
0.704,0.282,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_bottle_dbg/test_on_mvtec/0e1050e4/epoch_5/log.txt,trained_on_mvtec_bayes_dino_full_bottle_dbg,,0.16,0.395,0.109,mvtec
0.765,0.416,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_bottle_dbg/test_on_mvtec/0e1050e4/epoch_1/log.txt,trained_on_mvtec_bayes_dino_full_bottle_dbg,,0.226,0.595,0.136,mvtec
0.608,0.16,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_bottle_dbg/test_on_mvtec/63e87b9a/epoch_0/log.txt,trained_on_mvtec_bayes_dino_full_bottle_dbg,,0.144,0.586,0.138,mvtec
0.942,0.865,0.904,main/Crane-main/results/ablation_mvtec_resclip_alpha05/test_on_mvtec/d27917d2/epoch_0/log.txt,ablation_mvtec_resclip_alpha05,0.409,0.878,0.911,0.461,mvtec
0.606,0.19,0.863,main/Crane-main/results/trained_on_mvtec_residual_margin_bottle_e5_v2/test_on_mvtec/c6b5da5c/epoch_5/log.txt,trained_on_mvtec_residual_margin_bottle_e5_v2,0.068,0.164,0.591,0.139,mvtec
0.823,0.502,0.881,main/Crane-main/results/trained_on_mvtec_synth_cutpaste_ctxclip_zipper_e5_v2/test_on_mvtec/3072aaf5/epoch_5/log.txt,trained_on_mvtec_synth_cutpaste_ctxclip_zipper_e5_v2,0.021,0.115,0.512,0.042,mvtec
0.921,0.745,0.888,main/Crane-main/results/trained_on_mvtec_synth_cutpaste_ctxclip_zipper_e5_v2/test_on_mvtec/7ed5d48b/epoch_5/log.txt,trained_on_mvtec_synth_cutpaste_ctxclip_zipper_e5_v2,0.06,0.315,0.664,0.138,mvtec
0.822,0.568,0.881,main/Crane-main/results/trained_on_mvtec_synth_cutpaste_ctxclip_zipper_e5_v2/test_on_mvtec/7329b1e3/epoch_5/log.txt,trained_on_mvtec_synth_cutpaste_ctxclip_zipper_e5_v2,0.033,0.165,0.527,0.069,mvtec
0.864,0.688,0.867,main/Crane-main/results/epoch0_zeroshot_crane_dino/test_on_mvtec/151a3452/epoch_0/log.txt,epoch0_zeroshot_crane_dino,0.22,0.625,0.753,0.285,mvtec
